date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:30	1843/1843	---M--	200	added ('OK')	image/png	etag:%22c0c3e1c-733-5a483a449d3ae%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_paypal.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_paypal.png	(from http://badlapurseva.com/56/mywings/)
17:51:30	295021/295021	---M--	200	added ('OK')	image/jpeg	etag:%22c0c3dc3-4806d-5a480e520cd23%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyPerson.jpg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/DancingButterflyPerson.jpg	(from http://badlapurseva.com/56/mywings/)
17:51:31	73445/73445	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Oct%202020%2016:54:41%20GMT	http://badlapurseva.com/56/mywings/faq/	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/faq/index.html	(from http://badlapurseva.com/56/mywings/)
17:51:31	1813/1813	---M--	200	added ('OK')	image/png	etag:%22c0c3e1d-715-5a483a46381fa%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_visa.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_visa.png	(from http://badlapurseva.com/56/mywings/)
17:51:32	70157/70157	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Oct%202020%2016:54:42%20GMT	http://badlapurseva.com/56/mywings/terms-and-conditions/	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/terms-and-conditions/index.html	(from http://badlapurseva.com/56/mywings/)
17:51:33	2157/2157	---M--	200	added ('OK')	image/png	etag:%22c0c3e1b-86d-5a483a4367696%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_mastercard.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_mastercard.png	(from http://badlapurseva.com/56/mywings/)
17:51:33	69891/69891	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Oct%202020%2016:54:43%20GMT	http://badlapurseva.com/56/mywings/retail-affiliate-partners/	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/retail-affiliate-partners/index.html	(from http://badlapurseva.com/56/mywings/)
17:51:34	3646/3646	---M--	200	added ('OK')	image/png	etag:%22c0c3e1a-e3e-5a483a41de18b%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_6.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_6.png	(from http://badlapurseva.com/56/mywings/)
17:51:34	4545/4545	---M--	200	added ('OK')	image/png	etag:%22c0c3e19-11c1-5a483a3ff3db2%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_5.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_5.png	(from http://badlapurseva.com/56/mywings/)
17:51:35	4192/4192	---M--	200	added ('OK')	image/png	etag:%22c0c3e12-1060-5a483a3e00d39%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_4.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/payment_4.png	(from http://badlapurseva.com/56/mywings/)
17:51:35	132757/132757	---M--	200	added ('OK')	image/png	etag:%22c0c3e0a-20695-5a4819fdfa24f%22	http://badlapurseva.com/56/mywings/wp-content/uploads/2020/04/FlightSchool.png	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/uploads/2020/04/FlightSchool.png	(from http://badlapurseva.com/56/mywings/)
17:51:36	35452/35452	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	F:/New%20folder/Mywings/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/js/bootstrap.min.js	(from http://badlapurseva.com/56/mywings/)
